Date,Price,Open,High,Low,Volume,Change(%)
25 Apr 2022,222.85,223.95,226.9,221.5,8282013,-1.15%
22 Apr 2022,225.45,225.05,230.2,224.7,9024187,-0.79%
21 Apr 2022,227.25,226.1,228.65,225.25,8350750,0.11%
20 Apr 2022,227,228.25,229,223.45,7360981,-0.37%
19 Apr 2022,227.85,232.7,233.35,226.5,11277707,-1.41%
18 Apr 2022,231.1,229.5,231.8,227.55,14302443,0.70%
13 Apr 2022,229.5,234.95,235.35,227.55,8261580,-1.54%
12 Apr 2022,233.1,229.25,233.65,228.6,11077431,0.95%
11 Apr 2022,230.9,232.5,235.55,228.4,9310367,-0.73%
08 Apr 2022,232.6,233,234.1,230.6,5060077,0.54%
07 Apr 2022,231.35,235.95,239.9,230,8935434,-2.24%
06 Apr 2022,236.65,231.35,238.45,231.15,12865257,1.54%
05 Apr 2022,233.05,229.95,234.6,226.9,12875616,2.48%
04 Apr 2022,227.4,226,228.1,224.05,7430648,1.04%
01 Apr 2022,225.05,216.1,225.75,216.1,29747971,3.81%
31 Mar 2022,216.8,215.55,217.25,214.75,7744520,-0.14%
30 Mar 2022,217.1,213.1,218.7,211.8,40663864,2.74%
29 Mar 2022,211.3,213.85,214.45,209.7,7852887,-0.47%
28 Mar 2022,212.3,209.65,212.75,207.5,9617684,1.26%
25 Mar 2022,209.65,210.75,210.8,206.7,7382003,-0.52%
24 Mar 2022,210.75,210,211.2,208,8391719,0.31%
23 Mar 2022,210.1,209.5,210.6,208.3,7056588,0.67%
22 Mar 2022,208.7,205,209.5,204.05,9963973,1.85%
21 Mar 2022,204.9,216,216,204.5,13348062,-3.14%
17 Mar 2022,211.55,212,212.75,207.75,21348466,1.05%
16 Mar 2022,209.35,211.25,211.8,208.95,8950331,-0.14%
15 Mar 2022,209.65,213.2,215.05,208.3,10896214,-1.76%
14 Mar 2022,213.4,212.45,214,209.6,9448995,0.45%
11 Mar 2022,212.45,209.3,213,207.75,9744638,1.72%
10 Mar 2022,208.85,211,211.4,207.05,12387415,0.36%
09 Mar 2022,208.1,215.15,216,206.6,17123219,-2.00%
08 Mar 2022,212.35,214,223.4,209.8,21307868,-0.21%
07 Mar 2022,212.8,210.5,215.2,208.85,13226740,-1.05%
04 Mar 2022,215.05,215.95,217.5,210.95,9595738,-1.29%
03 Mar 2022,217.85,210.7,219.35,210.7,14854167,3.30%
02 Mar 2022,210.9,207.75,213.15,206.2,15376962,0.84%
28 Feb 2022,209.15,197.45,210.25,196.05,23953789,6.01%
25 Feb 2022,197.3,192.55,197.9,192.15,8190704,3.24%
24 Feb 2022,191.1,194,196,189.9,9858778,-3.51%
23 Feb 2022,198.05,198.35,199.5,197.6,4870098,-0.05%
22 Feb 2022,198.15,194.2,198.45,191.8,10204544,0.00%
21 Feb 2022,198.15,195.7,199,195.55,8011979,1.25%
18 Feb 2022,195.7,196.8,200.15,195.25,10950483,-0.66%
17 Feb 2022,197,198.25,198.85,196,12304164,0.36%
16 Feb 2022,196.3,198.6,201,195.7,15202546,-3.51%
15 Feb 2022,203.45,202,203.85,199,14284546,0.79%
14 Feb 2022,201.85,206.95,206.95,201.25,9082032,-2.86%
11 Feb 2022,207.8,210.2,212,207.05,15053348,-2.00%
10 Feb 2022,212.05,210.05,215.7,210.05,14385251,1.29%
09 Feb 2022,209.35,210.6,211.65,208.7,7375489,-0.33%
08 Feb 2022,210.05,214,215.4,208.5,6805678,-1.68%
07 Feb 2022,213.65,211.05,214.3,210,5901928,1.88%
04 Feb 2022,209.7,212,213.35,209.1,5496948,-0.76%
03 Feb 2022,211.3,214,215,211,3445792,-1.26%
02 Feb 2022,214,214.85,217.8,213.25,7440825,0.49%
01 Feb 2022,212.95,217,217.05,211.3,6466767,-1.14%
31 Jan 2022,215.4,212,216.75,211.2,14930820,2.47%
28 Jan 2022,210.2,217.5,217.5,209.25,14199037,-2.16%
27 Jan 2022,214.85,218,219.3,212.35,21384355,-1.83%
