Date,Price,Open,High,Low,Volume,Change(%)
09 Jun 2005,112.56,112.91,113.51,112.09,4048621,0.11%
08 Jun 2005,112.44,111,112.75,110.74,5176615,1.93%
07 Jun 2005,110.31,111.14,111.91,109.73,4210618,-0.80%
06 Jun 2005,111.2,111.54,113.98,110.54,6259593,-0.53%
04 Jun 2005,111.79,111.95,113.3,110.95,4034661,0.38%
03 Jun 2005,111.37,106.31,111.91,106.31,9390410,4.40%
02 Jun 2005,106.68,109.53,109.79,106.42,3829036,-2.07%
01 Jun 2005,108.93,108.32,109.57,107.92,4406235,1.12%
31 May 2005,107.72,106.11,108.3,105.58,5421328,1.56%
30 May 2005,106.07,107.01,107.66,105.71,2282045,-0.83%
27 May 2005,106.96,106.93,108.6,106.58,4193107,0.16%
26 May 2005,106.79,106.91,107.42,106.02,7769559,-0.05%
25 May 2005,106.84,106.31,107.52,105.81,4031194,-0.07%
24 May 2005,106.91,107.35,107.87,106.03,3664809,-0.03%
23 May 2005,106.94,105.5,107.31,105.1,2051339,2.05%
20 May 2005,104.79,105.71,106.09,103.81,4235432,-0.73%
19 May 2005,105.56,106.91,107.72,105.23,3029203,-1.00%
18 May 2005,106.63,106.31,107.03,105.32,4470270,0.69%
17 May 2005,105.9,109.13,109.47,105.7,3605609,-2.65%
16 May 2005,108.78,108.22,109.46,108.22,2412883,0.75%
13 May 2005,107.97,108.42,108.52,107.52,1774336,-0.52%
12 May 2005,108.53,108.71,109.01,107.65,3689457,-0.64%
11 May 2005,109.23,109.13,110.23,108.66,3128737,-0.32%
10 May 2005,109.58,111.49,111.9,109.36,2272721,-1.65%
09 May 2005,111.42,110.59,111.74,109.97,3164957,0.78%
06 May 2005,110.56,108.73,110.84,108.73,4635840,1.47%
05 May 2005,108.96,109.28,110.22,108.56,1737052,-0.04%
04 May 2005,109,109.13,109.73,108.12,2098028,0.07%
03 May 2005,108.92,107.32,109.33,105.82,3454317,1.33%
02 May 2005,107.49,106.61,107.82,105.64,3072191,1.10%
29 Apr 2005,106.32,110.78,110.78,105.73,3762517,-2.90%
28 Apr 2005,109.5,108.69,110.74,107.39,7511621,0.90%
27 Apr 2005,108.52,111.75,112.65,107.38,13395995,-1.50%
26 Apr 2005,110.17,109.13,110.88,108.95,3871831,0.09%
25 Apr 2005,110.07,109.73,110.5,108.64,3463076,-0.15%
22 Apr 2005,110.24,110.14,110.7,107.96,5567905,0.85%
21 Apr 2005,109.31,106.31,109.93,105.71,6087464,2.43%
20 Apr 2005,106.72,104.01,107.1,103.71,4341054,3.12%
19 Apr 2005,103.49,105.5,106.81,103.09,3618427,-0.88%
18 Apr 2005,104.41,106.11,106.11,103.69,4456598,-2.11%
15 Apr 2005,106.66,109.51,109.51,105.92,3912912,-2.90%
13 Apr 2005,109.84,110.94,111.3,109.33,2069914,-0.58%
12 Apr 2005,110.48,110.38,111.21,109.73,3331744,0.24%
11 Apr 2005,110.21,112.15,112.15,109.73,1865509,-1.70%
08 Apr 2005,112.12,114.16,114.36,111.42,3359996,-1.52%
07 Apr 2005,113.85,115.35,116.16,113.47,3651592,-1.08%
06 Apr 2005,115.09,112.35,115.35,112.35,4393667,2.80%
05 Apr 2005,111.96,113.95,114.73,111.45,3895664,-1.59%
04 Apr 2005,113.77,114.16,114.47,112.57,3448867,0.08%
01 Apr 2005,113.68,112.15,114.08,110.32,5027975,3.40%
31 Mar 2005,109.94,109.75,111.42,109.44,6305110,0.53%
30 Mar 2005,109.36,110.34,111.69,108.54,5789149,-1.09%
29 Mar 2005,110.57,114.16,114.34,109.75,4771867,-2.99%
28 Mar 2005,113.98,113.16,115.43,113.05,4037567,1.09%
24 Mar 2005,112.75,111.75,114.24,111.75,8069883,1.31%
23 Mar 2005,111.29,109.53,114.75,108.58,13640236,1.48%
22 Mar 2005,109.67,112.57,112.87,108.95,4768019,-2.68%
21 Mar 2005,112.69,115.37,116.14,112.35,2731618,-2.13%
18 Mar 2005,115.14,112.75,115.55,111.78,4802555,1.66%
17 Mar 2005,113.26,114.56,115.73,112.4,4647394,-2.05%
16 Mar 2005,115.63,114.98,116.34,114.28,4275833,0.60%
15 Mar 2005,114.94,116.78,117.61,114.6,5005254,-1.41%
14 Mar 2005,116.58,118.25,119.18,115.98,3534086,-1.52%
11 Mar 2005,118.38,120,120.97,117.89,5910172,-1.02%
10 Mar 2005,119.6,118.39,120.2,117.69,5397416,1.05%
09 Mar 2005,118.36,119.82,120.96,117.59,7616622,-0.55%
08 Mar 2005,119.01,118.55,119.53,117.22,7242982,0.71%
07 Mar 2005,118.17,111.79,118.88,111.79,7251185,2.60%
04 Mar 2005,115.18,112.66,115.45,112.66,8710667,2.41%
03 Mar 2005,112.47,110.78,113.26,110.78,6489464,1.63%
02 Mar 2005,110.67,110.14,111.13,109.64,5196032,0.38%
01 Mar 2005,110.25,112.25,112.25,109.63,4874365,-1.56%
28 Feb 2005,112,108.77,112.75,107.89,7580763,2.98%
25 Feb 2005,108.76,110.74,110.92,108.36,3983640,-1.25%
24 Feb 2005,110.14,110.8,111.44,109.85,4971064,-0.24%
23 Feb 2005,110.4,108.67,110.74,108.67,5568923,1.62%
22 Feb 2005,108.64,107.52,109,107.13,4257283,0.95%
21 Feb 2005,107.62,107.57,108.48,107.03,3352414,0.06%
18 Feb 2005,107.56,107.92,109.29,106.93,4333745,-0.31%
17 Feb 2005,107.89,107.92,108.27,106.74,3365895,0.15%
16 Feb 2005,107.73,108.53,109.51,107.14,3589822,-0.76%
15 Feb 2005,108.56,109.46,109.46,107.82,3379078,-0.80%
14 Feb 2005,109.44,111.12,111.39,108.49,3844535,-0.71%
11 Feb 2005,110.22,109.54,111.14,109.35,5562621,0.91%
10 Feb 2005,109.23,108.3,109.67,107.08,3549816,1.00%
09 Feb 2005,108.15,107.57,108.83,107.53,2583200,0.62%
08 Feb 2005,107.48,107.11,108.07,106.51,3602698,0.66%
07 Feb 2005,106.78,120.36,120.36,106.44,2583027,-1.27%
04 Feb 2005,108.15,109.53,109.73,107.2,3977210,-0.71%
03 Feb 2005,108.92,108.69,109.41,107.92,3296368,1.39%
02 Feb 2005,107.43,109.57,110.21,106.75,4900179,-1.73%
01 Feb 2005,109.32,107.5,110.14,106.72,8016759,2.00%
31 Jan 2005,107.18,105.71,107.62,105.24,6130579,1.93%
28 Jan 2005,105.15,102.08,105.39,98.66,5674790,3.19%
27 Jan 2005,101.9,101.7,103.29,101.42,6907925,0.90%
