Date,Price,Open,High,Low,Volume,Change(%)
22 Jun 2021,2522.9,2546.8,2546.8,2514.7,2604542,0.26%
21 Jun 2021,2516.4,2459,2524.2,2451,1891651,1.14%
18 Jun 2021,2488.1,2511,2511,2453.05,3082747,0.03%
17 Jun 2021,2487.3,2482.2,2506.95,2482.2,2657850,-1.35%
16 Jun 2021,2521.45,2535,2545,2515.7,2290999,-0.93%
15 Jun 2021,2545.1,2559.8,2559.8,2535.2,1589974,0.23%
14 Jun 2021,2539.2,2559.8,2559.8,2512.65,2125197,-0.80%
11 Jun 2021,2559.8,2575,2594.3,2555,2340867,-0.08%
10 Jun 2021,2561.9,2554.75,2567.85,2535,2116122,0.67%
09 Jun 2021,2544.75,2558,2579.25,2539.75,2784864,-0.38%
08 Jun 2021,2554.5,2586,2589.9,2550,3046814,-1.21%
07 Jun 2021,2585.75,2635,2635.4,2582,2222082,-1.27%
04 Jun 2021,2619.05,2588,2626,2584.05,3593742,1.36%
03 Jun 2021,2584,2568,2603,2556.45,3636647,0.85%
02 Jun 2021,2562.15,2570.75,2581.85,2531.1,3551619,-0.72%
01 Jun 2021,2580.75,2567,2610,2560.5,3900226,1.09%
31 May 2021,2552.85,2527.55,2564.8,2502,3221015,0.45%
28 May 2021,2541.35,2514.65,2549.85,2511,2548032,1.30%
27 May 2021,2508.85,2580.35,2580.35,2488.05,14119786,-2.29%
26 May 2021,2567.55,2547,2575,2530.5,1839397,1.46%
25 May 2021,2530.5,2562,2570.4,2523.5,2641950,-0.41%
24 May 2021,2540.9,2515,2558.8,2515,2655396,0.91%
21 May 2021,2518.05,2472,2525.95,2457.15,2711607,2.99%
20 May 2021,2445,2467,2488,2440.1,2551577,-0.60%
19 May 2021,2459.85,2498,2517,2453.75,2031903,-1.72%
18 May 2021,2502.85,2508,2527,2486.95,2844233,0.66%
17 May 2021,2486.45,2454,2495,2435.5,4452603,2.66%
14 May 2021,2422,2438.7,2443.95,2402.1,2254726,-0.68%
12 May 2021,2438.7,2448,2448,2407.5,3168128,-1.03%
11 May 2021,2464.2,2489.35,2502,2447.6,3728419,-2.65%
10 May 2021,2531.35,2515.1,2563.7,2515.1,4289915,1.39%
07 May 2021,2496.75,2454.7,2507.3,2438.4,4829852,2.74%
06 May 2021,2430.1,2397.3,2435,2382,2401866,2.21%
05 May 2021,2377.6,2392,2403,2354,3458463,0.02%
04 May 2021,2377.2,2420,2435,2373.6,3135834,-1.71%
03 May 2021,2418.5,2365,2432.95,2365,2984938,-0.07%
30 Apr 2021,2420.1,2503.1,2525,2411.1,6024595,-4.68%
29 Apr 2021,2538.85,2590.9,2628,2533,3005468,-1.48%
28 Apr 2021,2577,2516.1,2609,2508.3,3407461,2.33%
27 Apr 2021,2518.4,2494.15,2526.8,2486.25,2040799,0.34%
26 Apr 2021,2509.8,2500,2534.1,2483.2,3916088,0.50%
23 Apr 2021,2497.35,2455.05,2504.15,2437.5,3143779,0.71%
22 Apr 2021,2479.7,2400,2485,2373,4514740,2.64%
20 Apr 2021,2415.9,2542.15,2544,2406.2,7365765,-3.07%
19 Apr 2021,2492.35,2474,2510,2452,3550890,-3.17%
16 Apr 2021,2574.05,2550,2589.8,2546.85,3133311,1.06%
15 Apr 2021,2547.15,2540,2555,2493,4201633,1.36%
13 Apr 2021,2512.95,2422.4,2523.1,2412.25,3832030,3.85%
12 Apr 2021,2419.85,2450,2454.45,2405,3772771,-3.74%
09 Apr 2021,2513.9,2522,2556,2492.3,3234017,0.45%
08 Apr 2021,2502.55,2495,2530.9,2485.75,2510746,0.80%
07 Apr 2021,2482.7,2489,2507.8,2457,3511527,0.42%
06 Apr 2021,2472.3,2470.3,2486.85,2435.35,2882606,1.08%
05 Apr 2021,2445.85,2530,2531,2413,3353567,-3.38%
01 Apr 2021,2531.45,2524,2536.95,2480,2621437,1.34%
31 Mar 2021,2498.1,2599.6,2599.6,2490,5492619,-4.13%
30 Mar 2021,2605.65,2569.3,2617,2555.25,4349089,2.88%
26 Mar 2021,2532.75,2506.75,2548,2491.2,3272534,2.51%
25 Mar 2021,2470.75,2488,2491.6,2431.1,4759214,0.20%
24 Mar 2021,2465.75,2484.85,2503.5,2446.7,3165420,-1.76%
23 Mar 2021,2509.9,2531,2541.35,2492.1,3980896,-0.87%
22 Mar 2021,2531.85,2530.1,2547.35,2485,3367784,0.01%
19 Mar 2021,2531.65,2486,2567,2481.7,5277763,0.68%
18 Mar 2021,2514.6,2549,2561.45,2501,3460891,-0.04%
17 Mar 2021,2515.55,2509.1,2542,2502.75,3362442,0.21%
16 Mar 2021,2510.4,2556.5,2562.65,2503,2446483,-0.99%
15 Mar 2021,2535.5,2565,2568,2496.05,2905477,-1.27%
12 Mar 2021,2568,2662,2667.95,2556.35,3487185,-1.22%
10 Mar 2021,2599.8,2590.4,2609.4,2580.6,2569360,0.87%
09 Mar 2021,2577.3,2513.1,2584.4,2513.1,2877662,2.67%
08 Mar 2021,2510.25,2555.05,2560,2505.4,2179821,-1.32%
05 Mar 2021,2543.9,2573.6,2579.9,2523.5,4254126,-1.51%
04 Mar 2021,2582.95,2610,2610,2568,5315682,-2.71%
03 Mar 2021,2654.9,2608.9,2664.15,2592.15,5640063,3.55%
02 Mar 2021,2564,2615,2615,2541.4,4086134,-1.61%
01 Mar 2021,2606,2556,2614.6,2548.6,3595993,2.62%
26 Feb 2021,2539.4,2631.05,2631.05,2520,8771431,-5.41%
25 Feb 2021,2684.7,2718.5,2739,2677,4758112,-0.85%
24 Feb 2021,2707.75,2610.1,2723,2610.1,2950645,3.01%
23 Feb 2021,2628.6,2670.35,2677.9,2621,3022925,-0.88%
22 Feb 2021,2651.95,2741.3,2741.3,2638.15,4090709,-3.26%
19 Feb 2021,2741.3,2725,2765,2714.15,2275146,-0.14%
18 Feb 2021,2745.15,2800,2806,2730.1,2937262,-2.15%
17 Feb 2021,2805.35,2850.25,2856.6,2787.85,2874649,-1.86%
16 Feb 2021,2858.65,2871,2896,2838,2295100,-0.06%
15 Feb 2021,2860.45,2819,2868,2805,2847445,2.47%
12 Feb 2021,2791.5,2746,2809,2735.6,2921180,1.12%
11 Feb 2021,2760.6,2744.1,2767.6,2737.45,1935639,-0.23%
