Date,Price,Open,High,Low,Volume,Change(%)
17 Jan 2013,4797.55,4878.9,4878.9,4791,7807,-0.86%
16 Jan 2013,4839.2,4856.95,4872.75,4826,4513,-0.37%
15 Jan 2013,4857.3,4880.15,4899.2,4821.45,14141,-0.77%
14 Jan 2013,4894.95,4979.95,4980,4876.3,17080,1.14%
11 Jan 2013,4839.6,4894.6,4895.95,4819.95,11815,-0.38%
10 Jan 2013,4857.95,4948,4975.95,4840,22108,-1.81%
09 Jan 2013,4947.7,4881.35,4964.9,4880,31909,1.08%
08 Jan 2013,4894.95,4875,4918.95,4867.65,117547,0.43%
07 Jan 2013,4874.15,4949.85,4949.85,4852.35,30739,-0.03%
04 Jan 2013,4875.85,4905.3,4935,4862.6,12996,-0.48%
03 Jan 2013,4899.2,4975.05,4979.8,4866,21674,-1.51%
02 Jan 2013,4974.3,4988.95,5050,4932,45666,0.46%
01 Jan 2013,4951.6,5001,5001,4925,4220,-0.82%
31 Dec 2012,4992.3,4997.65,5015.95,4936,11764,0.55%
28 Dec 2012,4965.05,4989,4990.95,4932.1,13262,0.31%
27 Dec 2012,4949.95,4830,5024.2,4830,38715,2.23%
26 Dec 2012,4841.8,4818.6,4870,4799.65,42611,0.28%
24 Dec 2012,4828.5,4905.05,4905.05,4806.2,4266,-1.47%
21 Dec 2012,4900.5,4887,4965,4877.1,37648,0.29%
20 Dec 2012,4886.15,4929,4945,4872,12695,-0.54%
19 Dec 2012,4912.65,4776.4,4945,4772,43974,2.43%
18 Dec 2012,4796.15,4770.45,4850,4770.2,63282,0.15%
17 Dec 2012,4789.1,4830,4830,4772.3,14830,-0.16%
14 Dec 2012,4796.55,4717.3,4892,4717.3,7409,-0.94%
13 Dec 2012,4841.85,4839.9,4851,4790,8540,0.49%
12 Dec 2012,4818.2,4899,4899,4755,5263,-0.19%
11 Dec 2012,4827.6,4800.1,4860,4650,14396,0.44%
10 Dec 2012,4806.6,4875.8,4875.8,4776,13085,-0.43%
07 Dec 2012,4827.5,4840,4840,4800,31715,0.29%
06 Dec 2012,4813.4,4838,4864,4782.2,6236,-0.04%
05 Dec 2012,4815.45,4794,4840,4794,7535,0.72%
04 Dec 2012,4781.1,4738,4790,4707.05,14084,1.99%
03 Dec 2012,4687.85,4849.9,4849.9,4655.65,17270,-1.67%
30 Nov 2012,4767.4,4774.9,4900,4630,46425,0.42%
29 Nov 2012,4747.65,4676.4,5544.45,4630.15,38059,2.75%
27 Nov 2012,4620.4,4689,4689,4600,12251,0.45%
26 Nov 2012,4599.75,4630,4710,4583,17469,-0.43%
23 Nov 2012,4619.55,4586,4629.9,4580,22522,-0.01%
22 Nov 2012,4620.1,4627.05,4645.45,4583.35,24653,-0.16%
21 Nov 2012,4627.4,4620,4644,4599.95,27333,0.39%
20 Nov 2012,4609.4,4650,4650,4598,40332,0.22%
19 Nov 2012,4599.2,4650,4847.7,4575,52134,-2.66%
16 Nov 2012,4724.65,4714,4763.95,4710.85,10664,0.10%
15 Nov 2012,4720.05,4785,4785,4713,27025,-1.51%
13 Nov 2012,4792.65,4800,4848,4760,4193,-0.21%
12 Nov 2012,4802.65,4870,4900,4799.95,5069,-1.25%
09 Nov 2012,4863.55,4899.95,4920,4850,7950,-0.60%
08 Nov 2012,4892.8,4820,4915.5,4820,12260,0.73%
07 Nov 2012,4857.25,4869.9,4886,4839.95,32460,-0.05%
06 Nov 2012,4859.8,4798.75,4888,4798.75,18470,0.39%
05 Nov 2012,4841.05,4824.95,4849.25,4782.5,19795,1.27%
02 Nov 2012,4780.45,4788.85,4788.85,4690.1,47155,1.15%
01 Nov 2012,4726.1,4698.9,4734.8,4640.2,9718,0.55%
31 Oct 2012,4700.1,4749.9,4749.9,4655.15,7162,0.23%
30 Oct 2012,4689.25,4700,4700,4650,31953,0.36%
29 Oct 2012,4672.5,4674.9,4700,4649.95,6246,0.44%
26 Oct 2012,4651.9,4680,4700,4650,13517,-0.77%
